Customers,Cancelled_orders_count
ef0103e9602d12594d19c2b666219bc1,3
ba84da8c159659f116329563a0a981dd,2
d05c44a138277ad325d915c6b7ccbcdf,2
230a1e9f42924d41f37fd22a1d4a9707,2
af5454198a97379394cacf676e1e96cb,2
46450c74a0d8c5ca9395da1daac6c120,2
391d6062da3dd65b4de4524f28c478de,2
ff36be26206fffe1eb37afd54c70e18b,2
ffa0ba4c9a6a0763879efe7c2b8d5b93,1
ffc4233210eac4ec1711a8b847196d4e,1
3977f83a14549e6265bcded84e92ee80,1
39e441e925537ef195f789be824ffc07,1
39f31c1aae7c88de15521a33a3d5e44c,1
3b80d2592c113d689c05232eb90db0ff,1
3bec6798ceb2e8fafb2e95e06b3610b7,1
3bfe747d54d23c0adbaec9387ad312a7,1
3c194b4ca2219ebcfa234ba116d87954,1
3d0daef0dee218b1d11cb7972bf6a445,1
3d20f9eb3b573ac7c42e3888c339467f,1
3d2906056c2f9ba0c2c955474fb6854f,1
3dc61372072b2ba11ac143e93da218e1,1
3e4bda3508f163eb549f0f146b08ed7f,1
3fcc50bc5c467b2e71ea7c00a790829b,1
405f6a0f60d44b5ad32044970938191f,1
40aa675201863fe2a78cc40c3ab74609,1
40d1c2a6b8ac6ccc102d473ff51cc46d,1
4109d1ec56460d34187c78d7f010ef18,1
414c39f83f4f28baac31864772bbf0eb,1
42befda568ea0df110b6cec63c233bea,1
42f791f74ef1f0e1befd3eb3f117c8c2,1
4346ad9d11bac1699d9e6e10d5736779,1
43956f989bf5238c0aa2b8286046c2f2,1
43b7231618d64561df2c15a78fd41dec,1
44b7b02e8a7f63ec7b93b0d2dda64825,1
452b6dce944359e5fea9c6144484a9bd,1
4628eb5d381e37b130a6b0cb32110558,1
46c0a00dac020d24bfdfbc8b214d54de,1
481c59a1f6bafb63320f101c013e6784,1
4854e9b3feff728c13ee5fc7d1547e92,1
48a6084b7f77f89e384a733e209f3c98,1
48c26048ebd3e3ba5164d28018687996,1
4a4bc27d97551e150f9bcb72dca4eae9,1
4a875173bfb6a79bc80ade998b70132e,1
4a8a841cb76a69535f66997767246249,1
4b8096486405b8edbf0af122f4cfd283,1
4b9c1e46a59a75a9af94bc7e355b97a0,1
4bacd0426f63fae437e148380f9758cb,1
4be7401277e805bf714401f604eac2aa,1
4c56975eb8d4dd3989e2ae19903ef4d1,1
4d024a9c22e0d1232091ee9915499719,1
4d8f12bc9b7ef020d6728530215daca7,1
4dcabe94c61f202327839a734955b0cf,1
4e1554d1a2dcb38dcf22770eb7390fe1,1
4e1567240be3d719ba5c79afed039693,1
4e5fccc1c335360bbc4a9aac8491e477,1
4eb6fcfd481ef3c2ab3afba135ef4bcc,1
4eddd5c44479274893b2ae3c12b79b40,1
4fa4365000c7090fcb8cad5713c6d3db,1
4fb1141f38a3efb845a83e3da0cf5278,1
505fe88e18db61affa7c0f8adbeda4c2,1
50afcaffb2feb156594d6535f31e1259,1
50c7adf7c25188cf27f66e1cfe278fad,1
5105b52fa696cbca4cd3ddade05149fd,1
52ca43132ea5c0f2805b1537bb841857,1
52cf485027691709f7b6124df189763e,1
5363812c31bae08d549b36205b76dc87,1
54ba613d4129ba5a15d92d1491b098cb,1
54c7188c8d28bfcbb61c9bff1f713097,1
54d7a15160876f86860fd741b906a742,1
5562519ab10ca3a2bcafca081618d2ea,1
56f79e7fa10370a6acc1f70e805b6cc6,1
574241537a24a10ba4219b4a7c308b4e,1
57668c60f87bc896997917dace48bcac,1
585368798753fb4f57e8510b5ba471dd,1
587b326ba3bf8aa4d3e50fb1f38ea79f,1
58aa424ba24df5dc745e1a3941abc5a3,1
5946c7eb7093ad678e3510213f1b6f09,1
595e4f5543fcf93e124729bc947ca896,1
597e54e653cbc1ce5df1e6d97bbc448c,1
59a7bb642795ddc85534fbd5f7360334,1
5b8e2b1579f85b73591611c56267d7f7,1
5c694a3890f4de5708c0252c38cb6b5d,1
5cc22576ed6032e9dab0501f28f0c33f,1
5d0a2980b292d049061542014e8960bf,1
5d13c5bdde211e7b29f55af368b42a53,1
5dd7c998ea73207f1e1f8b04866c3f83,1
5df281f84513d9fb70a2145e036f24d8,1
5dfefe306589a5fced96030b0028b5e7,1
5e25434639298a46d7f9e08c54dfbdd9,1
5edd5c0bb0447456895f9bfe90275616,1
5eed8cf8c54bff340300c214ddc32db4,1
5eeee5eeca922883fac818e432cb3f9d,1
60a22f2188cd2b544c45f103d0e00539,1
60b2ec19b8c18082cdb5180106a97cb5,1
60cb71ede06779aa7fcaa2a8baceb190,1
615e2b4729f14b2540218b24b4c4d8cc,1
623b94cac35b6629e4a77bd398beca52,1
634420a0ea42302205032ed44ac7fccc,1
63886f940a92212edba1ced79bd6b0e5,1
63ebf3d11427af1cd9f0ea16e97d2e2e,1
63fcbecaac621e776121f5ba274f650e,1
6420296dd74d32cdfd553d4b98fa8ad4,1
6472bdcbf7c12cef720eb284dbb68048,1
64f74dd56b328dc02d0492da5f0cce31,1
